date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:08:05	35309/35309	---M-Z	200	added ('OK')	application/javascript	etag:%2289ed-5497ecfa2fc63-gzip%22	http://maniac.yakuzi.eu/assets/plugins/morris/morris.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/morris/morris.min.js	(from http://maniac.yakuzi.eu/morris.html)
13:08:05	12126/12126	---M-Z	200	added ('OK')	text/css	etag:%222f5e-5497ecce88ef1-gzip%22	http://maniac.yakuzi.eu/assets/plugins/fullcalendar/fullcalendar.css	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/fullcalendar/fullcalendar.css	(from http://maniac.yakuzi.eu/calendar.html)
13:08:06	91555/91555	---M-Z	200	added ('OK')	application/javascript	etag:%22165a3-5497ecfa73283-gzip%22	http://maniac.yakuzi.eu/assets/plugins/morris/raphael-2.1.0.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/morris/raphael-2.1.0.min.js	(from http://maniac.yakuzi.eu/morris.html)
13:08:09	51213/51213	---M-Z	200	added ('OK')	application/javascript	etag:%22c80d-5497eccf41813-gzip%22	http://maniac.yakuzi.eu/assets/plugins/fullcalendar/fullcalendar.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/fullcalendar/fullcalendar.min.js	(from http://maniac.yakuzi.eu/calendar.html)
13:08:12	377508/377508	---MCZ	200	added ('OK')	application/javascript	etag:%225c2a4-5497ecb716f5d-gzip%22	http://maniac.yakuzi.eu/assets/plugins/datatables/jquery.dataTables.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/datatables/jquery.dataTables.js	(from http://maniac.yakuzi.eu/data-tables.html)
13:08:14	13632/13632	---M-Z	200	added ('OK')	application/javascript	etag:%223540-5497ecd103b3a-gzip%22	http://maniac.yakuzi.eu/assets/plugins/gmaps/prettify.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/gmaps/prettify.js	(from http://maniac.yakuzi.eu/googlemap.html)
13:08:15	228539/228539	---M-Z	200	added ('OK')	application/javascript	etag:%2237cbb-5497ecf8d12fe-gzip%22	http://maniac.yakuzi.eu/assets/plugins/jquery-ui/jquery-ui-1.10.4.min.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/jquery-ui/jquery-ui-1.10.4.min.js	(from http://maniac.yakuzi.eu/calendar.html)
13:08:15	104252/104252	---M-Z	200	added ('OK')	application/javascript	etag:%221973c-5497ecf768d5a-gzip%22	http://maniac.yakuzi.eu/assets/plugins/jquery-jvectormap/jquery-jvectormap-world-mill-en.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/jquery-jvectormap/jquery-jvectormap-world-mill-en.js	(from http://maniac.yakuzi.eu/vectormap.html)
13:08:16	304/304	---M--	200	added ('OK')	image/png	etag:%22130-5497eced76eda%22	http://maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/img/sprite-skin-flat.png	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/img/sprite-skin-flat.png	(from http://maniac.yakuzi.eu/assets/plugins/ion-rangeSlider/css/ion.rangeSlider.skinFlat.css)
13:08:16	57514/57514	---M-Z	200	added ('OK')	application/javascript	etag:%22e0aa-5497ecd0d6c79-gzip%22	http://maniac.yakuzi.eu/assets/plugins/gmaps/gmaps.js	G:/My%20Web%20Sites/Admin/maniac.yakuzi.eu/assets/plugins/gmaps/gmaps.js	(from http://maniac.yakuzi.eu/googlemap.html)
